game_id,tag
50,Combat
50,Online Co Op
50,Adventure
50,Action RPG
50,Dark Humor
50,Singleplayer
50,Memes
50,Sci fi
51,Co op
51,PvE
51,FPS
51,Exploration
51,Procedural Generation
51,Shooter
51,Loot
51,Class Based
51,First Person
51,Sci fi
51,Space
51,Action
51,Looter Shooter
51,Atmospheric
51,Combat
51,Horror
51,Survival
51,Action Roguelike
51,Dark
51,Open World
52,Great Soundtrack
52,Story Rich
52,Choices Matter
52,Multiple Endings
52,Pixel Graphics
52,Funny
52,RPG
52,Singleplayer
52,Indie
52,Comedy
52,2D
52,Replay Value
52,Bullet Hell
52,Cute
52,Memes
52,Retro
52,Dark
52,Psychological Horror
52,Dating Sim
52,Horror
53,Medieval
53,Strategy
53,Open World
53,RPG
53,War
53,Sandbox
53,Multiplayer
53,Singleplayer
53,Action
53,Character Customization
53,Simulation
53,Moddable
53,Adventure
53,Horses
53,Realistic
53,Third Person
53,First Person
53,Historical
53,Great Soundtrack
53,Early Access
54,City Builder
54,Simulation
54,Building
54,Management
54,Strategy
54,Sandbox
54,Singleplayer
54,Moddable
54,Economy
54,Resource Management
54,Mod
54,Realistic
54,Replay Value
54,Casual
54,Modern
54,Real Time with Pause
54,Family Friendly
54,Great Soundtrack
54,Funny
54,Action
55,Racing
55,Open World
55,Driving
55,Multiplayer
55,Automobile Sim
55,Online Co Op
55,Realistic
55,Singleplayer
55,Controller
55,Adventure
55,Arcade
55,PvP
55,Simulation
55,Exploration
55,Sports
55,Action
55,Atmospheric
55,Great Soundtrack
55,First Person
55,Funny
56,Souls like
56,Difficult
56,Action
56,Singleplayer
56,Ninja
56,Stealth
56,Adventure
56,Third Person
56,Open World
56,Story Rich
56,Violent
56,Atmospheric
56,Assassin
56,Dark Fantasy
56,Hack and Slash
56,RPG
56,Gore
56,Great Soundtrack
56,Dark
56,Rhythm
57,Strategy
57,World War II
57,Grand Strategy
57,War
57,Historical
57,Military
57,Alternate History
57,Multiplayer
57,Simulation
57,Tactical
57,Real Time with Pause
57,Singleplayer
57,RTS
57,Diplomacy
57,Sandbox
57,Co op
57,Competitive
57,Strategy RPG
57,Open World
57,Action
58,Simulation
58,Driving
58,Physics
58,Destruction
58,Realistic
58,Automobile Sim
58,Open World
58,Sandbox
58,Racing
58,Moddable
58,Singleplayer
58,Multiplayer
58,Early Access
58,First Person
58,Third Person
58,Exploration
58,Funny
58,Action
58,Adventure
58,Flight
59,Survival
59,Zombies
59,Open World
59,Open World Survival Craft
59,Multiplayer
59,Sandbox
59,Post apocalyptic
59,Co op
59,Crafting
59,Indie
59,Simulation
59,Building
59,RPG
59,Survival Horror
59,Realistic
59,Isometric
59,Singleplayer
59,2D
59,Early Access
59,Adventure
60,Third Person Shooter
60,Action Roguelike
60,Multiplayer
60,Action
60,Co op
60,Roguelite
60,Looter Shooter
60,Roguelike
60,Loot
60,Online Co Op
60,Shooter
60,Difficult
60,Third Person
60,Indie
60,Survival
60,Singleplayer
60,Great Soundtrack
60,Soundtrack
60,Early Access
60,Bullet Hell
61,Story Rich
61,Choices Matter
61,Great Soundtrack
61,Female Protagonist
61,Time Travel
61,Atmospheric
61,Episodic
61,Singleplayer
61,Adventure
61,Time Manipulation
61,Multiple Endings
61,Mystery
61,Third Person
61,Point & Click
61,Indie
61,Walking Simulator
61,Casual
61,Action
61,Memes
61,LGBTQ+
62,Military
62,Action
62,Multiplayer
62,Simulation
62,Shooter
62,Realistic
62,First Person
62,Open World
62,Tactical
62,FPS
62,War
62,Co op
62,Strategy
62,Sandbox
62,Singleplayer
62,Moddable
62,Combat
62,Online Co Op
62,Team Based
62,Third Person Shooter
63,Magic
63,Fantasy
63,Open World
63,Singleplayer
63,Adventure
63,RPG
63,Character Customization
63,Exploration
63,Story Rich
63,Third Person
63,Action Adventure
63,Atmospheric
63,Action RPG
63,Action
63,Combat
63,Choices Matter
63,Puzzle
63,Great Soundtrack
63,Dark
63,Family Friendly
64,Action
64,FPS
64,Great Soundtrack
64,Gore
64,Fast Paced
64,Violent
64,Demons
64,Shooter
64,First Person
64,Singleplayer
64,Blood
64,Multiplayer
64,Sci fi
64,Post apocalyptic
64,Mature
64,Atmospheric
64,Story Rich
64,Adventure
64,Difficult
64,Horror
65,FPS
65,Military
65,Shooter
65,War
65,Multiplayer
65,Action
65,Combat
65,Team Based
65,First Person
65,PvP
65,Futuristic
65,Vehicular Combat
65,Modern
65,Destruction
65,Singleplayer
65,Physics
65,Cinematic
65,Adventure
65,Hero Shooter
65,Casual
66,FPS
66,Multiplayer
66,Mechs
66,Shooter
66,Action
66,Singleplayer
66,Parkour
66,Sci fi
66,First Person
66,Futuristic
66,PvP
66,Combat
66,Military
66,Fast Paced
66,Dating Sim
66,Team Based
66,Time Travel
66,Hero Shooter
66,Violent
66,Co op
67,Battle Royale
67,Multiplayer
